state,district,year,jan-rf,jan-dep,feb-rf,feb-dep,mar-rf,mar-dep,apr-rf,apr-dep,may-rf,may-dep,jun-rf,jun-dep,jul-rf,jul-dep,aug-rf,aug-dep,sep-rf,sep-dep,oct-rf,oct-dep,nov-rf,dec-dep,dec-rf,dec-dep
West Bengal, South 24 Parganas,2007,4.9,-67,58.8,179,11.6,-62,37.0,-29,180.6,73,238.5,-12,735.8,106,359.8,-1,478.5,50,86.2,-51,61.2,68,0.0,-100
West Bengal, South 24 Parganas,2008,99.0,573,10.5,-50,8.0,-74,50.6,-3,76.4,-27,400.0,48,245.4,-31,297.5,-18,285.3,-11,149.9,-16,0.0,-100,0.0,-100
West Bengal, South 24 Parganas,2009,0.0,-100,0.0,-100,20.7,-33,6.0,-88,235.1,125,78.3,-71,409.6,15,318.2,-12,315.7,-1,87.7,-51,31.5,-14,0.0,-100
West Bengal, South 24 Parganas,2010,0.0,-100,6.7,-68,1.4,-95,11.3,-75,150.8,66,251.2,-13,246.7,-36,253.4,-32,222.4,-30,148.3,-22,3.4,-92,14.1,74
West Bengal, South Dinajpur,2006,0.0,-100,0.0,-100,0.0,-100,35.0,-44,3.5,-98,161.9,-46,294.2,-22,196.0,-19,419.4,56,23.1,-83,0.0,-100,0.0,-100
West Bengal, South Dinajpur,2007,0.0,-100,14.0,-7,0.0,-100,0.0,-100,108.8,-34,524.4,76,435.4,15,196.5,-19,291.9,8,11.2,-92,0.0,-100,0.0,-100
West Bengal, South Dinajpur,2008,0.0,-100,0.0,-100,0.0,-100,0.0,-100,1.2,-99,286.8,-4,464.4,23,304.0,25,197.6,-27,42.8,-68,0.0,-100,0.0,-100
West Bengal, South Dinajpur,2009,0.0,-100,0.0,-100,0.0,-100,0.0,-100,59.4,-64,42.7,-86,314.3,-17,376.4,55,14.7,-95,175.0,32,0.0,-100,0.0,-100
West Bengal, South Dinajpur,2010,0.0,-100,0.0,-100,0.0,-100,84.9,36,120.5,-26,384.4,29,139.4,-63,335.7,38,192.0,-29,119.3,-10,16.2,31,0.6,-88
Uttar Pradesh,Agra,2006,0.0,-100,0.0,-100,1.0,-88,0.1,-98,7.0,-39,20.0,-62,190.8,-18,63.5,-77,29.8,-78,3.0,-89,0.0,-100,0.0,-100
Uttar Pradesh,Agra,2007,0.0,-100,31.5,206,24.2,199,0.0,-100,4.5,-61,62.9,20,81.3,-65,116.1,-57,46.6,-66,0.0,-100,0.0,-100,0.4,-90
Uttar Pradesh,Agra,2008,0.0,-100,0.0,-100,0.0,-100,14.1,188,22.2,93,116.0,121,173.2,-25,162.7,-40,56.6,-58,0.3,-99,0.0,-100,0.0,-100
Uttar Pradesh,Agra,2009,0.0,-100,0.0,-100,0.0,-100,1.6,-67,38.0,230,16.8,-68,74.1,-68,76.7,-72,84.4,-38,62.6,133,14.8,270,2.0,-50
Uttar Pradesh,Agra,2010,1.3,-92,8.6,-17,0.0,-100,0.0,-100,0.0,-100,13.5,-74,98.2,-58,119.7,-56,146.7,8,1.5,-94,27.8,595,1.7,-58
Uttar Pradesh, Aligarh,2006,1.4,-92,0.0,-100,6.0,-41,1.9,-63,22.2,51,59.8,45,168.1,-19,34.9,-85,48.9,-65,15.0,-59,0.0,-100,0.5,-92
Uttar Pradesh, Aligarh,2007,3.6,-78,53.6,277,46.2,357,0.0,-100,6.0,-59,86.4,109,168.8,-18,145.9,-39,12.2,-91,0.0,-100,,,0.0,-100
Uttar Pradesh, Aligarh,2008,0.0,-100,0.0,-100,0.0,-100,24.0,371,106.4,624,173.6,320,243.1,17,208.0,-12,124.1,-10,0.0,-100,,,,
Uttar Pradesh, Aligarh,2009,,,,,,,,,,,0.0,-100,61.5,-70,137.2,-42,34.9,-75,19.1,-47,20.5,469,11.1,73
Uttar Pradesh, Aligarh,2010,1.2,-93,5.1,-64,0.0,-100,0.0,-100,0.0,-100,12.5,-70,66.3,-68,228.8,-4,293.9,113,0.0,-100,14.9,314,3.3,-48
